auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.78	0.5	0.5	1.25	1.15
hpb	0.997	0.892	0.5	0.5	1.25	1.15
smra	1.0	0.927	0.5	0.5	1.25	1.15
sealed-MBP16	1.0	0.773	1	1	1.25	1.15
hpb	0.979	0.864	1	1	1.25	1.15
smra	0.984	0.914	1	1	1.25	1.15
sealed-MBP16	1.0	0.777	1.5	1.5	1.25	1.15
hpb	0.979	0.874	1.5	1.5	1.25	1.15
smra	0.978	0.919	1.5	1.5	1.25	1.15
sealed-MBP16	1.0	0.78	2	2	1.25	1.15
hpb	0.979	0.878	2	2	1.25	1.15
smra	0.977	0.924	2	2	1.25	1.15
sealed-MBP16	1.0	0.783	2.5	2.5	1.25	1.15
hpb	0.979	0.879	2.5	2.5	1.25	1.15
smra	0.976	0.927	2.5	2.5	1.25	1.15
sealed-MBP16	1.0	0.785	3	3	1.25	1.15
hpb	0.979	0.888	3	3	1.25	1.15
smra	0.993	0.971	3	3	1.25	1.15
