auction_format	efficiency	revenue	beta900	beta1800	sDT	sVOD
sealed-MBP16	1.0	0.875	1	1	1.0	1
hpb	1.0	0.983	1	1	1.0	1
smra	1.0	1.026	1	1	1.0	1
sealed-MBP16	1.0	0.747	1	1	1.0	1.25
hpb	0.929	0.795	1	1	1.0	1.25
smra	0.991	0.885	1	1	1.0	1.25
sealed-MBP16	1.0	0.641	1	1	1.0	1.5
hpb	0.863	0.466	1	1	1.0	1.5
smra	0.985	0.762	1	1	1.0	1.5
sealed-MBP16	1.0	0.562	1	1	1.0	1.75
hpb	0.813	0.408	1	1	1.0	1.75
smra	0.973	0.705	1	1	1.0	1.75
sealed-MBP16	1.0	0.5	1	1	1.0	2
hpb	0.774	0.363	1	1	1.0	2
smra	0.976	0.627	1	1	1.0	2
sealed-MBP16	1.0	0.45	1	1	1.0	2.25
hpb	0.743	0.327	1	1	1.0	2.25
smra	0.979	0.565	1	1	1.0	2.25
sealed-MBP16	1.0	0.41	1	1	1.0	2.5
hpb	0.717	0.298	1	1	1.0	2.5
smra	0.98	0.514	1	1	1.0	2.5
sealed-MBP16	1.0	0.376	1	1	1.0	2.75
hpb	0.696	0.273	1	1	1.0	2.75
smra	0.982	0.471	1	1	1.0	2.75
sealed-MBP16	1.0	0.347	1	1	1.0	3
hpb	0.678	0.252	1	1	1.0	3
smra	0.983	0.435	1	1	1.0	3
